onet_soc,title,R1,R2,R3
11-1011.00,Chief Executives,-0.34601676369329387,2.091466622265537,1.1302041413681525
11-1011.03,Chief Sustainability Officers,-0.8635873150608012,1.3044921135717684,0.393329152367172
11-1021.00,General and Operations Managers,-0.29816941266372804,1.0324652685802238,0.6370749481868869
11-2011.00,Advertising and Promotions Managers,-1.2048969059088601,0.48166210165024176,0.06593971457800349
11-2021.00,Marketing Managers,-1.0864316156331093,0.9312550817467623,0.13920366147954757
11-2022.00,Sales Managers,-1.0362297429963032,1.0326321929041817,0.7909729549299481
11-2033.00,Fundraising Managers,-1.3813258549545895,0.33551435659579815,0.41658412764603664
11-3012.00,Administrative Services Managers,-0.23861417955389974,0.6198791206543754,0.6852747108048493
11-3013.00,Facilities Managers,0.7589912183882678,1.117832087711986,0.785403088812375
11-3013.01,Security Managers,0.6635875356141729,1.6745146011809047,1.3370115896978445
11-3021.00,Computer and Information Systems Managers,-0.548234839179504,1.3415503267418283,-0.5583750247925394
11-3031.00,Financial Managers,-1.1332827847501168,0.7495391391943583,0.15615558054037385
11-3031.01,Treasurers and Controllers,-1.2146755366529032,1.1730364592351648,-0.513881281092262
11-3031.03,Investment Fund Managers,-1.3480324843019458,0.8925850868688932,-0.8937350391166486
11-3051.00,Industrial Production Managers,0.6574740253959946,1.3283771386814542,0.15142732842563908
11-3051.01,Quality Control Systems Managers,0.18456960905979658,1.714085761900013,-0.20161005254418818
11-3051.02,Geothermal Production Managers,0.9690266001719441,1.8842915111225311,0.0412791255499901
11-3051.03,Biofuels Production Managers,0.8949366920644283,1.392616946500943,-0.006084225368737702
11-3051.04,Biomass Power Plant Managers,1.050993984343917,1.6268713118175244,-0.05237208843068798
11-3051.06,Hydroelectric Production Managers,1.0466360228101734,1.8665936690229687,-0.09438683331151258
11-3061.00,Purchasing Managers,-0.8009221061123485,1.187999223469467,0.2388535929167714
11-3071.00,"Transportation, Storage, and Distribution Managers",0.004527302643225433,1.03909290898971,0.560448553208535
11-3071.04,Supply Chain Managers,-0.5350319279133146,1.300162085807633,0.1998626860744858
11-3111.00,Compensation and Benefits Managers,-1.5322879204567226,0.43961343099795075,-0.0791697682704218
11-3121.00,Human Resources Managers,-0.8778218777660615,1.3052222170287118,1.335277170887441
11-3131.00,Training and Development Managers,-1.1227864045423606,1.065420157182626,0.3026502621786369
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",1.0672542012694815,0.9561091452995764,0.2573577940021671
11-9021.00,Construction Managers,1.1331072931876698,1.9722715877750665,0.5140993954398595
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",-0.3623425945415167,0.7790111998024088,1.7396753049182547
11-9032.00,"Education Administrators, Kindergarten through Secondary",-0.407669662437597,1.7660249837064539,1.8233556995949842
11-9033.00,"Education Administrators, Postsecondary",-1.0503195369584424,1.1521766435408876,0.7364672688675221
11-9041.00,Architectural and Engineering Managers,-0.27974900477963116,1.7167894997542905,-0.5508473283236707
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,0.21352494731640267,1.3290238038792501,-0.9764426331571523
11-9051.00,Food Service Managers,0.17590412993168655,0.25538371391053977,1.3290730425844284
11-9071.00,Gambling Managers,-0.23009132982189645,0.6693129504725333,1.1690529811806842
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",-0.2597876122876972,0.6273587142770309,1.3712300095376706
11-9081.00,Lodging Managers,-0.12725388610183802,1.0374607412355479,1.6209558382318219
11-9111.00,Medical and Health Services Managers,-0.6268674792487388,1.4858444928186767,0.971724065770819
11-9121.00,Natural Sciences Managers,-0.2848064921123504,1.5068805707815587,-0.31926709582860063
11-9121.01,Clinical Research Coordinators,-0.8404062652726856,0.49021713632452474,0.14987067926590802
11-9121.02,Water Resource Specialists,-0.5441852781928862,1.2734953326571892,-0.9869572551020124
11-9131.00,Postmasters and Mail Superintendents,-0.06859537015451064,0.9285433200388142,1.2849699783058277
11-9141.00,"Property, Real Estate, and Community Association Managers",-0.846877990133598,0.41008176298099625,0.5942353277387333
11-9151.00,Social and Community Service Managers,-0.7411240221412431,0.9012433593889001,1.3391268504392888
11-9161.00,Emergency Management Directors,-0.011131703841492174,1.5105709405113497,1.1469483982353077
11-9171.00,Funeral Home Managers,0.2624763293108317,0.6508913911962722,1.8730675111931396
11-9179.01,Fitness and Wellness Coordinators,-0.29813731241856406,0.23646258763946584,1.4205154193947929
11-9179.02,Spa Managers,-0.33868875256346304,0.6111919443937824,1.4055646002755593
11-9199.01,Regulatory Affairs Managers,-1.1894669008310532,0.8685569395898871,-0.34307167455013987
11-9199.02,Compliance Managers,-0.5633537694511963,0.8870538290422844,0.8245266162920015
11-9199.08,Loss Prevention Managers,-0.04782978360248995,1.0447877656716629,1.1288210458541295
11-9199.09,Wind Energy Operations Managers,1.3319453184524317,1.7797088080629684,0.46051728575791223
11-9199.10,Wind Energy Development Managers,-0.5761122697478741,1.0826834251404929,-0.3764198664552455
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,-0.5957660262202156,1.3016859920761845,-0.7102529363306802
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",-1.759231279481681,-0.41773781547111377,0.29626684759951666
13-1021.00,"Buyers and Purchasing Agents, Farm Products",-0.5582668649702353,0.4322764026834134,0.012914212965016143
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",-0.9085841287676203,0.08142178307882943,-0.27051276282542924
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",-1.00961484963502,0.8876399639308686,0.008621903389220148
13-1031.00,"Claims Adjusters, Examiners, and Investigators",-0.9160591693673028,0.5157869807576921,0.07147038121091438
13-1032.00,"Insurance Appraisers, Auto Damage",-0.2432158042576541,-0.17433467693280172,0.13806774822702325
13-1041.00,Compliance Officers,-0.20575536160593014,0.010982002304093526,0.8629295414734233
13-1041.01,Environmental Compliance Inspectors,0.1292941379614256,0.857210961890758,-0.28244206322543414
13-1041.03,Equal Opportunity Representatives and Officers,-1.3071633321556568,0.40318787680509066,0.43054740965405713
13-1041.04,Government Property Inspectors and Investigators,0.4905476032884021,1.1550297354888317,0.5061650339284334
13-1041.06,Coroners,0.8124681613925037,1.1025874363232218,1.7623065704999366
13-1041.07,Regulatory Affairs Specialists,-1.29967342931609,0.5686740976359231,-0.5220340509433283
13-1041.08,Customs Brokers,-1.1054928553492904,0.34887639812188076,0.009256803544428843
13-1051.00,Cost Estimators,-1.1233436085616273,0.7705280188813893,-1.4712713056009041
13-1071.00,Human Resources Specialists,-1.2486016952666452,0.045042066506826836,0.6778413941392951
13-1074.00,Farm Labor Contractors,-0.16164721059714934,-1.2164686284395494,0.3529874326099669
13-1075.00,Labor Relations Specialists,-1.3157789162403322,0.26071037725051127,0.43517880209531656
13-1081.00,Logisticians,-0.6507154699301185,1.025289474758675,0.14341281376849818
13-1081.01,Logistics Engineers,-0.36644349207710586,1.5125726569209144,-0.8716782881798456
13-1081.02,Logistics Analysts,-0.762885620771792,0.8325996770525195,-0.5080264903654533
13-1111.00,Management Analysts,-0.9705217180010873,1.2167597671174861,0.3188356438816756
13-1121.00,"Meeting, Convention, and Event Planners",-0.11906154763885843,0.8820600905611075,1.1156600414234301
13-1131.00,Fundraisers,-1.417246626734055,0.40795609865297566,0.40997471558946624
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",-1.419618490735567,0.10886774726216698,-0.5176212510955859
13-1151.00,Training and Development Specialists,-1.1058239653792736,0.638636600586884,0.5725303206512401
13-1161.00,Market Research Analysts and Marketing Specialists,-1.4727029934726794,0.7180882396577306,-0.5917059266198765
13-1161.01,Search Marketing Strategists,-1.5963532336126351,0.47889827467047397,-0.9994879595317594
13-1199.04,Business Continuity Planners,-1.104019365104356,0.9833946663867675,-0.46900577522162035
13-1199.05,Sustainability Specialists,-1.002797410318638,0.6931615816757754,-0.2733414052926977
13-1199.06,Online Merchants,-1.2949253281758875,-0.21567611461339858,-0.5667547674142174
13-1199.07,Security Management Specialists,0.16660529778061584,1.340642480417947,0.553551555982785
13-2011.00,Accountants and Auditors,-1.2074740226057654,0.3613063219694532,-0.3544440717378616
13-2022.00,Appraisers of Personal and Business Property,-0.5931992336635887,0.40926314488608,-0.7131835670673332
13-2023.00,Appraisers and Assessors of Real Estate,-0.6962340426208025,0.006138827375773533,-1.127852361238945
13-2031.00,Budget Analysts,-1.2582914828638296,0.23446805521465627,-1.0221985529842714
13-2041.00,Credit Analysts,-1.696042472639838,-0.1710307491479808,-1.456341550894631
13-2052.00,Personal Financial Advisors,-1.6348178476649082,0.5329139683487389,-0.6862402012483481
13-2053.00,Insurance Underwriters,-1.486443017389311,-0.1522802527302251,-0.6473498374523396
